date,n_units,n_rows,M0_MAE_day,M0_MSE_day,M0_deviance_day,M1_MAE_day,M1_MSE_day,M1_deviance_day,M2_MAE_day,M2_MSE_day,M2_deviance_day,M1_minus_M0_MAE_day,M1_minus_M0_MSE_day,M1_minus_M0_deviance_day,M2_minus_M0_MAE_day,M2_minus_M0_MSE_day,M2_minus_M0_deviance_day,M2_minus_M1_MAE_day,M2_minus_M1_MSE_day,M2_minus_M1_deviance_day
2025-04-03,11,11,71.75508854298741,7693.430979872458,10.313498288109688,88.1981546921662,12757.660037478401,10.359240980524364,94.23701887650914,14487.214547536616,12.304620067794115,16.44306614917879,5064.229057605943,0.045742692414675545,22.48193033352173,6793.783567664158,1.991121779684427,6.038864184342941,1729.5545100582149,1.9453790872697514
2025-04-04,11,11,70.04510773146673,10169.828080055906,7.532874169344698,80.03225299985098,15415.214412745763,8.214303715380359,85.81091723674314,17848.480729505944,10.734595959963746,9.987145268384253,5245.386332689857,0.6814295460356607,15.765809505276408,7678.652649450038,3.2017217906190485,5.778664236892155,2433.2663167601804,2.5202922445833877
2025-04-05,11,11,70.26240539524336,7223.432992362571,8.514840288705965,70.70733709089687,7236.093637556016,8.925643722001887,73.73680763338665,7209.427385693855,8.391386240407785,0.44493169565350854,12.660645193444907,0.4108034332959214,3.474402238143284,-14.0056066687157,-0.1234540482981803,3.0294705424897757,-26.666251862160607,-0.5342574815941017
2025-04-06,11,11,83.77257009005064,10646.631406444822,7.893839037339668,79.2475333450741,9880.997459601736,7.06773229094332,89.34085851949507,13214.362209555891,7.789478849448335,-4.525036744976532,-765.6339468430851,-0.8261067463963485,5.568288429444436,2567.7308031110697,-0.10436018789133339,10.093325174420968,3333.364749954155,0.7217465585050151
2025-04-07,11,11,80.23755117431216,12752.211653455865,14.18229254244697,82.46239666660979,13648.16312090889,15.174566361781759,82.49922239130943,14217.65149524188,14.963108796376074,2.224845492297632,895.9514674530255,0.9922738193347893,2.2616712169972715,1465.4398417860157,0.780816253929105,0.036825724699639295,569.4883743329901,-0.21145756540568428
2025-04-08,11,11,96.81762976633036,22777.48447661756,10.119475410725583,105.12436143050799,28973.88314623627,11.2671225433043,102.581222123428,28263.43502848167,10.573819739196054,8.306731664177633,6196.398669618709,1.147647132578717,5.76359235709765,5485.950551864109,0.4543443284704711,-2.543139307079983,-710.4481177546004,-0.6933028041082459
2025-04-09,11,11,117.87643043909051,36485.177308848535,13.81777739825621,111.18459179296437,31292.842571909983,12.80402054491384,117.06010525911806,30930.06039964678,14.035170267090889,-6.691838646126143,-5192.334736938552,-1.01375685334237,-0.816325179972452,-5555.116909201755,0.21739286883467912,5.875513466153691,-362.7821722632034,1.231149722177049
2025-04-10,11,11,125.59010595049814,48339.64764722728,16.960498710350375,114.27144382932062,42312.11854493535,14.71434661685277,108.18775241336975,35881.09738307296,13.715956635941076,-11.318662121177525,-6027.529102291926,-2.2461520934976047,-17.40235353712839,-12458.550264154313,-3.244542074409299,-6.083691415950867,-6431.021161862387,-0.9983899809116945
2025-04-11,11,11,138.04137317194738,76040.63643411669,23.80638578758138,145.940605459128,85968.66904046784,27.123719221523,136.32491163533496,69056.89539518551,22.78820575955694,7.8992322871806095,9928.032606351146,3.31733343394162,-1.716461536612428,-6983.741038931184,-1.0181800280244389,-9.615693823793038,-16911.77364528233,-4.335513461966059
2025-04-12,11,11,95.6983545821964,16110.22261235332,10.991125630536073,115.09324479161033,32138.607082101804,16.155165665039906,98.40074011982506,21781.74736639887,11.904783133044305,19.39489020941393,16028.384469748484,5.164040034503833,2.7023855376286576,5671.524754045551,0.9136575025082312,-16.692504671785272,-10356.859715702933,-4.2503825319956015
