fold,level,model,tol,design_column,coefficient,intercept
0,3,M3,1e-10,mem_heavy_precip_h7_z,0.02307987921669674,-7.515305042442099
0,3,M3,1e-10,mem_heavy_precip_h14_z,-0.02765872483189376,-7.515305042442099
0,3,M3,1e-10,mem_heavy_precip_h28_z,-0.09045494154808185,-7.515305042442099
0,3,M3,1e-10,mem_lag1_urgent_respiratory_total_h1_z,0.12983440957348535,-7.515305042442099
0,3,M3,1e-10,mem_lag1_urgent_respiratory_total_h3_z,0.021277766365313,-7.515305042442099
0,3,M3,1e-10,mem_lag1_urgent_respiratory_total_h7_z,-0.06477366883484514,-7.515305042442099
0,3,M3,1e-10,mem_lag1_urgent_respiratory_total_h14_z,0.0240591255758282,-7.515305042442099
0,3,M3,1e-10,mem_lag1_urgent_respiratory_total_h28_z,0.3318646632526977,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_hospitalizations_h1_z,0.009818662016135257,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_hospitalizations_h3_z,0.062415183826259296,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_hospitalizations_h7_z,0.0291635548883156,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_hospitalizations_h14_z,-0.05488526345811948,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_hospitalizations_h28_z,-0.17617970609419062,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_deaths_h1_z,0.006877943421630967,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_deaths_h3_z,-0.110265551225603,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_deaths_h7_z,-0.12033410859858817,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_deaths_h14_z,-0.027526116710786242,-7.515305042442099
0,3,M3,1e-10,mem_lag1_respiratory_deaths_h28_z,0.005264740224873489,-7.515305042442099
0,3,M3,1e-10,dow_1,-0.024843876893636693,-7.515305042442099
0,3,M3,1e-10,dow_2,-0.05890298202545272,-7.515305042442099
